Job Title,Company,Location
Crowdfunding,"NayePankh Foundation
Actively hiring",Work from home
Fashion Design & Boutique Operations,"Her By Neha
Actively hiring",Delhi
Business Development (Sales),"EcoVcraft (Fashiana Craft LLP)
Actively hiring","North Goa, Morjim"
Fundraising Ambassador (Part time),"Aapka Sahara Foundation
Actively hiring",Work from home
Graphic Design,"InAmigos Foundation
Actively hiring",Work from home
Business Development (Sales),GoTo SIOC,Daman
HR Intern,"Codeacious Technologies Private Limited
Actively hiring",Noida
Event Management,"Get Out And Play India
Actively hiring",Bangalore
Social Media Content,"Paracoat Products Limited
Actively hiring",Gurgaon
Corporate Sales,"CIRRUS TECH SERVICES
Actively hiring",Kolkata (Hybrid)
Content and Social Media Marketing,"P&M
Actively hiring","Delhi, Gurgaon"
Marketing,Guardian Group,Gurgaon
Company Secretary (CS),BDO India LLP,Mumbai
Facility Management,Sundream Group,Noida
Video Editing/Making,603 The CoWorking Space India,"Mumbai, Bandra"
Graphic Design,Kautilya Industries Pvt Ltd,Gurgaon
Human Resources (HR),Zucol Services Private Limited,Aundh
Omni Sport Advisor,Decathlon Sports India,Mumbai
Graphic Design,Pulse Pharmaceuticals,Hyderabad
Business Development (Sales),MarketsandMarkets,Pune
Motion Graphics,The House Of Rare,Bangalore
E-Commerce Marketing,FarmLokal,Greater Noida
Human Resources (HR),Zucol Group Of Companies,Pune
Field Brand Marketing Executive,NoBrokerHood,Pune
Business Development (Sales),FarmLokal,Noida
E-Commerce Marketing,FarmLokal,"Greater Noida, Noida"
HR,Team Management Services (TMS),"Thane, Navi Mumbai, Mumbai"
Search Engine Optimization (SEO),Neha Singh,Delhi
Data Entry,AVIS India,Gurgaon
Content Writing,HT Media,Mumbai
Brand Partnership Expert,DCC,Work from home
Human Resources (HR),Emami Group,Gurgaon
Product Management,Ventura Securities Limited,"Thane, Navi Mumbai, Mumbai, Panvel"
Customer Care,OfBusiness (OFB Tech Private Limited),"Delhi, Gurgaon"
Program Associate,"Scaler
Actively hiring",Bangalore
Creative Writing,"Marpu Foundation
Actively hiring",Work from home
Copywriting,"Marpu Foundation
Actively hiring",Work from home
Blogging,"Marpu Foundation
Actively hiring",Work from home
Sales And Marketing (Field Work),Blinkit.com,"Gurgaon, Delhi, Noida"
Content Writing,"Marpu Foundation
Actively hiring",Work from home
Digital Blog Creation,"Marpu Foundation
Actively hiring",Work from home
Social Media Marketing,"Marpu Foundation
Actively hiring",Work from home
Student Volunteer,"Marpu Foundation
Actively hiring",Hyderabad
Social Impact & Community Support,"Marpu Foundation
Actively hiring",Hyderabad
Field Social Volunteering Work (PAN INDIA),"Marpu Foundation
Actively hiring",Work from home
Field Activity Facilitator (Pan India),"Marpu Foundation
Actively hiring",Work from home
Event Anchoring & Presenter,"Marpu Foundation
Actively hiring",Work from home
Workshop Facilitator & Leadership,"Marpu Foundation
Actively hiring",Work from home
Event Hosting & Facilitator,"Marpu Foundation
Actively hiring","Ahmedabad, Chennai, Delhi, Gurgaon, Kolkata, Lucknow, Ranchi, Hyderabad, Bhopal, Mumbai, Kochi, Jaipur, Vijayawada, Bangalore, Rajasthan (Hybrid)"
Design,"Times Internet Limited
Actively hiring",Gurgaon
